TotalFundingAmount	CbRank	Name Startup	ShortDescription	Location	Categories	HeadquartersRegions	FoundedDate	Founders	OperationStatus	FundingStatus	LastFundingType	NumberOfEmployees	LegalName	IpoStatus	CompanyType	Website	Facebook	Linkedin	Twitter	Email	PhoneNumber	Data e hora da Captura	URL
	359,919	Ilhasoft	Ilhasoft is a Brazilian company that specializes in mobile application development in optimizing services that has a social impact.	" Maceió,  Alagoas,  Brazil, "	" Android, Application Performance Management, Apps, Mobile"		2012		Active			11-50		Private		" ilhasoft.com.br/ "	https://www.facebook.com/ilhasoft/timeline?ref=page_internal	https://www.linkedin.com/company/ilhasoft/	https://twitter.com/ilhasoft	contato@ilhasoft.com.br	+558230225978	26/01/2020 11:19:52	https://www.crunchbase.com/organization/ilhasoft
	312,060	PokerLAB	PokerLAB is an online academy website for poker players and uncomplicated didactics, classes, techniques, strategies, and courses.	" Maceió,  Alagoas,  Brazil, "	" Gambling, Internet"		2012		Active			11-50		Private		" pokerlab.com.br "	https://www.facebook.com/pokerlab	https://www.linkedin.com/company/pokerlab	https://twitter.com/poker_lab	suporte@pokerlab.com.br		26/01/2020 11:20:46	https://www.crunchbase.com/organization/pokerlab
	336,876	ALT Systems Tecnologia	ALT Systems Tecnologia offers management solutions to help companies with the financial and strategic management of their businesses.	" Maceió,  Alagoas,  Brazil, "	" Business Information Systems, Finance, Internet, Management Consulting, Software"		Feb 1, 2013		Active			1-10		Private		" www.altsystems.com.br "	https://www.facebook.com/altsystemstecnologia			alexius.marques@gmail.com		26/01/2020 11:21:33	https://www.crunchbase.com/organization/alt-systems-tecnologia
	461,533	BlueDental	BlueDental is an online dental management software application that enables the online management of its users’ clinic or office.	" Maceió,  Alagoas,  Brazil, "	" Dental, Health Care, Software"		Feb 10, 2012		Active			1-10		Private		" www.bluedental.com.br "	http://www.facebook.com/b1uedental	https://www.linkedin.com/company/bluedental/	https://twitter.com/bluedental_	contato@bluedental.com.br	+ 55 82 4141 4000	26/01/2020 11:21:56	https://www.crunchbase.com/organization/bluedental
	793,244	Clube do Consumidor	Clube do Consumidor is a system that provides benefits, advantages and income to its members through its discount card.	" Alagoas,  Bahia,  Brazil, "	" Credit Cards, E-Commerce, Information Technology, Internet, Software"		2010		Closed			1-10		Private		" www.clubedoconsumidor.com/ "			https://twitter.com/clubconsumidor			26/01/2020 11:22:42	https://www.crunchbase.com/organization/clube-do-consumidor
	630,386	Ache Na Gringa	Ache Na Gringa is a tool to hire the most diverse services provided by Brazilians living abroad.		" Apps, Mobile Apps, Travel"				Active					Private		" achenagringa.com/ "	https://www.facebook.com/achenagringa/		https://twitter.com/achenagringa/	contato@achenagringa.com		26/01/2020 11:23:27	https://www.crunchbase.com/organization/ache-na-gringa
	382,078	GameMall	GameMall is a loyalty platform for retailing with a focus on shopping malls.	" Arapiraca,  Alagoas,  Brazil, "	" Apps, Loyalty Programs, Mobile Apps"				Active					Private		" www.gamemall.com.br/ "	https://www.facebook.com/gamemallapp/	https://www.linkedin.com/company/gamemall/		joasazevedo@gamemall.com.br		26/01/2020 11:24:12	https://www.crunchbase.com/organization/gamemall
	592,827	iSitesWS	iSites.WS is a website manager.	" Maceió,  Alagoas,  Brazil, "	" B2B, B2C, Communications Infrastructure, Digital Media, SaaS"		Oct 2009		Active			1-10		Private		" www.isites.ws/ "	https://www.facebook.com/iSitesWS/			contato@3tags.com.br		26/01/2020 11:24:59	https://www.crunchbase.com/organization/isitesws
	673,918	WappCo	WappCo generates a link that, when clicked, taking the user to a conversation with a certain number.	" Maceió,  Alagoas,  Brazil, "	" Information Technology, Messaging"		Oct 2017		Active			1-10		Private		" wapp.co/ "	https://www.facebook.com/WappCo/			wapp@3tags.com.br		26/01/2020 11:25:46	https://www.crunchbase.com/organization/wappco
	664,940	Partiu	Partiu facilitates searches for entertainment and/or knowledge when deciding a destination.	" Maceió,  Alagoas,  Brazil, "	" Events, Media and Entertainment"		Feb 2017		Active			1-10		Private		" www.partiu.me/ "	https://www.facebook.com/partiu.me			falecom@partiu.me	82996703421	26/01/2020 11:26:04	https://www.crunchbase.com/organization/partiu
	477,964	Igabaritei	Igabaritei is a web platform whose objective is the accomplishment and correction of online evaluations.	" Maceió,  Alagoas,  Brazil, "	" B2B, B2C, EdTech, Education, SaaS"		Oct 2014		Active			1-10		Private		" www.igabaritei.com/ "				contato@igabaritei.com	(82) 98847-5671	26/01/2020 11:26:21	https://www.crunchbase.com/organization/igabaritei
	649,709	ContatoWS	ContactWS is a custom web address that allows anyone to direct visitors to WhatsApp and social networks.	" Maceió,  Alagoas,  Brazil, "	" Information Services, Information Technology, Software"		2015		Active					Private		" contato.ws/ "	https://www.facebook.com/ContatoWS/			sac@contato.ws		26/01/2020 11:27:12	https://www.crunchbase.com/organization/contatows
	818,955	Arasystem	Arasystem is a Brazilian computer company.	" Arapiraca,  Alagoas,  Brazil, "	" Information Technology, Internet"				Active					Private		" arasystem.placeweb.site/ "	https://www.facebook.com/pg/grupoarasystem.com.br/			luis.claudio@grupoarasystem.com.br	+55 82 3482-7310	26/01/2020 11:27:28	https://www.crunchbase.com/organization/arasystem
	677,849	Encontraki	Encontraki is an application that enables users to locate the nearest technical assistance providers in their areas.		" Apps, Information Technology, Internet"				Active					Private		" www.encontraki.pt "	https://www.facebook.com/encontraki-547093052117432		https://www.twitter.com/encontraki_pt			26/01/2020 11:28:36	https://www.crunchbase.com/organization/encontraki
	666,082	Linno	Linno provides consulting in information and communication technologies.	" Maceió,  Alagoas,  Brazil, "	" Communications Infrastructure, Digital Media, Information Technology, Internet, Software"		May 5, 2005		Active			1-10		Private		" plusagencia.digital/ "	https://www.facebook.com/plusagencia/			contato@plus.com.vc	+55 82 3355-9200	26/01/2020 11:28:54	https://www.crunchbase.com/organization/linno
	652,696	UEBee - Soluções Inteligentes	UEBee - Soluções Inteligentes is focused on developing web and mobile applications.	" Alagoas,  Bahia,  Brazil, "	" Information Technology, Mobile, Mobile Apps, Web Apps"		Jun 27, 2012		Active					Private		" www.uebee.com.br/ "	https://www.facebook.com/UEBEE.SI/		https://twitter.com/UEBeeSI		+0123 456 70 80	26/01/2020 11:29:15	https://www.crunchbase.com/organization/uebee-solu%C3%A7%C3%B5es-inteligentes
	683,492	Socioteca	Socioteca is a social network for people who want to open new businesses.	" Maceió,  Alagoas,  Brazil, "	" Communities, Consulting, Professional Services, Social Entrepreneurship, Social Network"				Active			1-10		Private		" www.socioteca.com/ "	https://www.facebook.com/socioteca/		https://twitter.com/socioteca	info@socioteca.com		26/01/2020 11:30:13	https://www.crunchbase.com/organization/socioteca
	814,597	RiskLife	RiskLife develops solutions for the health area through the use of technology.	" Maceió,  Alagoas,  Brazil, "	" Health Care, Health Diagnostics, Information and Communications Technology (ICT), Medical, Medical Device"				Active			1-10		Private								26/01/2020 11:31:07	https://www.crunchbase.com/organization/risklife
	762,392	Destino Alagoas	Destino ALAGOAS is an online portal that features tourism products and services available in Alagos.	" Maceió,  Alagoas,  Brazil, "	" Internet, Tourism"		2011		Active					Private		" www.destinoalagoas.com.br "	https://www.facebook.com/DestinoAlagoas/		https://twitter.com/DestinoALAGOAS			26/01/2020 11:31:52	https://www.crunchbase.com/organization/destino-alagoas
	727,824	ProExame	ProExame provides healthcare solutions.	" Maceió,  Alagoas,  Brazil, "	" Health Care, Internet, SaaS, Software, Wellness"		Jul 2015		Active			1-10		Private		" www.proexameapp.com.br/ "	http://www.facebook.com/proexameapp/					26/01/2020 11:32:43	https://www.crunchbase.com/organization/proexame
	382,432	EasyDoctor	EasyDoctor provides easy appointment scheduling for doctors and patients.		" Scheduling, Software"				Active					Private			https://www.facebook.com/easydoctorapp/		https://twitter.com/easydoctorapp			26/01/2020 11:33:26	https://www.crunchbase.com/organization/easydoctor
	807,704	Alertem.me	Alertem.me is a social application that allows its users to share problems in their cities.		" Public Safety, Social Media, Software"				Active					Private		" www.alertem.me/ "						26/01/2020 11:34:08	https://www.crunchbase.com/organization/alertem-me
	315,539	Midiaweb	Midiaweb is a digital communication agency that develops and manages strategies to position clients’ brands in the digital universe.	" Maceió,  Alagoas,  Brazil, "	" Communications Infrastructure, Digital Media, Information Technology"		1995		Active			51-100		Private		" www.midiaweb.net/ "			https://twitter.com/midiawebnet		+55 11 3434.6445	26/01/2020 11:34:27	https://www.crunchbase.com/organization/midiaweb
	642,074	Astecas	Astecas is a virtual financial consulting service  company that facilitates the life of an entrepreneur.	" Macapá,  Sao Paulo,  Brazil, "	" Consulting, Financial Services, Information Services"		2014		Active					Private		" astec.as/ "		https://www.linkedin.com/company/astecas/				26/01/2020 11:35:26	https://www.crunchbase.com/organization/astecas
	800,630	UndoBox	Undobox is a digital business platform that aims to solve problems related to stale inventories of clothing retailers.		" E-Commerce, Information Technology"				Active					Private		" undobox.com.br/ "		https://www.linkedin.com/company/undobox/				26/01/2020 11:36:09	https://www.crunchbase.com/organization/undobox
	822,790	EnergyHELP	EnergyHELP is a startup that focuses on helping people and companies to optimize energy consumption.		" Energy, Energy Efficiency, Energy Management, Information Services, Internet"				Active					Private		" energyhelp.cf "	https://www.facebook.com/EnergyHelp-248949202534351/					26/01/2020 11:36:52	https://www.crunchbase.com/organization/energyhelp
	664,655	Registro Jurídico	Registro Jurídico presents a collaborative legal assistance network of paralegals and law trainees, available for offices and companies.		" Advice, Consulting, Legal"				Active					Private		" www.registrojuridico.com.br/ "	https://www.facebook.com/registrojuridico	https://www.linkedin.com/company/registrojuridico/	https://twitter.com/regjur	sac@registrojuridico.com.br		26/01/2020 11:37:38	https://www.crunchbase.com/organization/registro-jur%C3%ADdico
	712,660	UniVoto	UniVoto is a political campaign platform of mass dissemination for the electoral campaign.	" Macapá,  Amapa,  Brazil, "	" Internet, Politics"				Active					Private		" www.univoto.com.br "	https://www.facebook.com/univoto			contato@univoto.com.br	+55 96 99186.5719	26/01/2020 11:37:58	https://www.crunchbase.com/organization/univoto
	534,946	Proesc	Proesc is an online school management system and specialist in the financial and pedagogical management of schools and courses.	" Macapá,  Sao Paulo,  Brazil, "	" EdTech, Financial Services"		2008		Active			11-50		Private		" www.proesc.com/ "	https://www.facebook.com/proesc	https://www.linkedin.com/company/proesc/	https://twitter.com/proesc	contato@proesc.com	+55 96 98144-2924	26/01/2020 11:38:19	https://www.crunchbase.com/organization/proesc
	801,397	Progkit-Bio	Progkit-Bio offers antimicrobial purses and bags that enables healthcare professionals and students to store their coats.	" Macapá,  Sao Paulo,  Brazil, "	" Health Care, Internet"				Active					Private								26/01/2020 11:39:06	https://www.crunchbase.com/organization/progkit-bio
	434,355	Projeto Rumo ao ITA	Projeto Rumo ao ITA is a website that provides educational support for students studying for the entrance exam of the ITA.	" Macapá,  Sao Paulo,  Brazil, "	" Education, Internet"		Jul 2, 2002		Active			1-10		Private		" www.rumoaoita.com/site/ "	https://www.facebook.com/rumoaoita		https://twitter.com/rumoaoita			26/01/2020 11:39:58	https://www.crunchbase.com/organization/projeto-rumo-ao-ita
	841,858	HUB4B	HUB4B is an information technology consulting company for technological and co-working business innovation.		" Consulting, Information Services, Information Technology"		1997		Active					Private								26/01/2020 11:40:44	https://www.crunchbase.com/organization/hub4b
	650,260	Residuum	Residuum is a cleantech startup intelligent and management reverse logistics of solid urban and commercial waste.	" Manaus,  Amazonas,  Brazil, "	" Environmental Engineering, Internet, Waste Management"		2016		Active			1-10		Private		" www.residuum.com.br "		https://www.linkedin.com/company/res%C3%ADduum/about/				26/01/2020 11:41:42	https://www.crunchbase.com/organization/residuum
	359,295	Onisafra	Onisafra is an agricultural trading platform that connects producers directly to buyers.	" Manaus,  Amazonas,  Brazil, "	" Agriculture, AgTech, Trading Platform"		2016		Active			1-10		Private		" onisafra.com/ "	https://www.facebook.com/onisafra	https://www.linkedin.com/company/onisafra/	https://twitter.com/onisafra	contato@onisafra.com	(92) 99475-3991	26/01/2020 11:42:09	https://www.crunchbase.com/organization/onisafra
	350,583	ALLtism	ALLtism is an activity manager that assists in the development and evolution of autistic children through artificial and human intelligence.	" Manaus,  Amazonas,  Brazil, "	" B2B, B2C, Health Care, SaaS, Wellness"		Jan 2018		Active			1-10		Private								26/01/2020 11:42:53	https://www.crunchbase.com/organization/alltism
	760,749	NFC Smart Book	NFC Smart Book offers a paper book that comes to life when used with a mobile phone.	" Manaus,  Amazonas,  Brazil, "	" EBooks, Mobile Devices"		2016		Active			1-10		Private		" nfcsmartbook.com.br/ "	https://www.facebook.com/nfcsmartbook/	https://www.linkedin.com/company/nfc-smart-book/		contato@nfcsmartbook.com.br		26/01/2020 11:43:54	https://www.crunchbase.com/organization/nfc-smart-book
R$50K	102,650	Trocados	Trocados is a financial application to pass and receive changes in a practical and safe way.	" Manaus,  Amazonas,  Brazil, "	" Apps, E-Commerce, Finance, Financial Services"		2014		Active		Seed	1-10		Private		" www.trocados.com.br "	https://www.facebook.com/apptrocados	https://www.linkedin.com/company/trocados		contato@trocados.com.br	92981570256	26/01/2020 11:44:25	https://www.crunchbase.com/organization/trocados
	551,898	EuDireto	EuDireto is a marketplace that unites the markets and distributors.	" Manaus,  Amazonas,  Brazil, "	" E-Commerce, Information Technology, Marketplace, Retail"		Sep 2018		Active			1-10		Private		" www.eudireto.com.br "	https://www.facebook.com/EuDireto	https://www.linkedin.com/company/eudireto		contato@eudireto.com.br	55 92 999623323	26/01/2020 11:44:44	https://www.crunchbase.com/organization/eudireto
	726,620	Cardume Coworking	Cardume Coworking is a coworking space that believes in the power of sharing and collaboration for diverse opportunities.	" Manaus,  Amazonas,  Brazil, "	" Business Development, Collaboration, Coworking"		2014		Active			1-10		Private		" cardumecoworking.com.br/ "	https://www.facebook.com/cardumemanaus/	https://www.linkedin.com/company/cardume-coworking/	https://twitter.com/cardumemanaus	contato@cardumecoworking.com.br	092 3348-6400	26/01/2020 11:45:05	https://www.crunchbase.com/organization/cardume-coworking
	505,185	Conatus Software	Conatus Software is a software development company focused on creating products and services for the web and mobile platform.	" Manaus,  Amazonas,  Brazil, "	" Mobile, Software, Web Development"		2011		Active			1-10		Private		" conatussw.com "	https://www.facebook.com/conatussw	https://www.linkedin.com/company/conatus-sw			+55 92 3213-3345	26/01/2020 11:45:23	https://www.crunchbase.com/organization/conatus-software
	803,560	Indbeat	Indbeat is a social commerce platform that enables users to discover and promote new music and artists.	" Manaus,  Amazonas,  Brazil, "	" Art, Music, Social"				Active					Private		" www.indbeat.com/beta/sobre.php "				contato@danilopeixoto.com.br	559293329036	26/01/2020 11:45:37	https://www.crunchbase.com/organization/indbeat
	584,298	Flying Saci Game Studio	Flying Saci Game Studio is a Brazilian game studio focused on educational games and media projects.	" Manaus,  Amazonas,  Brazil, "	" EdTech, Education, Gamification, Gaming, Online Games, SaaS"		2015		Active			1-10		Private		" www.flyingsaci.com "	https://www.facebook.com/flyingsaci/	https://www.linkedin.com/company/flying-saci/		contact@flyingsaci.com	+55 92 3878 5473	26/01/2020 11:45:57	https://www.crunchbase.com/organization/flying-saci-game-studio
	246,538	Mobibuzz	Mobibuzz connects registered and verified deliverers, the Buzzers, with merchants who need to deliver their products.	" Manaus,  Amazonas,  Brazil, "	" Delivery Service, Logistics"		2017		Active					Private		" www.mobibuzz.com.br/ "	https://www.facebook.com/mobibuzzapp/	https://www.linkedin.com/company/mobibuzz/	https://twitter.com/mobibuzzapp	contato@mobibuzz.com.br		26/01/2020 11:46:45	https://www.crunchbase.com/organization/mobibuzz
	369,382	Ludic Studios	Ludic Studios is a Brazilian indie game studio.	" Manaus,  Amazonas,  Brazil, "	" Video Games"				Active					Private		" ludic-studios.com "	https://www.facebook.com/LudicStudios/		https://twitter.com/studioludic	contact@ludic-studios.com		26/01/2020 11:47:31	https://www.crunchbase.com/organization/ludic-studios
	777,134	Uplink Conteudo Digital	Uplink Conteudo Digital provides analysis and digital publication services for companies, projects, and individuals.	" Manaus,  Amazonas,  Brazil, "	" Content, Digital Media, Publishing"		2012		Active			1-10		Private		" uplinkmidia.com "	https://www.facebook.com/uplinkconteudodigital/?fref=ts	https://www.linkedin.com/company/uplink-conte-do-digital/about/	https://twitter.com/uplinkmidia			26/01/2020 11:48:18	https://www.crunchbase.com/organization/uplink-conteudo-digital
	250,482	Transire	Transire is an industrial plant that has modern installations, equipment and resources that comply with the most severe national.	" Manaus,  Amazonas,  Brazil, "	" Electronics"				Active					Private		" www.transire.com.br/ "	https://www.facebook.com/pg/transireeletronicos			faleconosco@transire.com.br	55 (92) 3615-4136	26/01/2020 11:48:36	https://www.crunchbase.com/organization/transire
	798,233	TRANSPORTANDOAQUI.COM	TRANSPORTANDOAQUI.COM operates in the field of transportation marketing providing improvement and convenience to customers.	" Manaus,  Amazonas,  Brazil, "	" Customer Service, Freight Service, Internet, Marketing, Social Entrepreneurship, Transportation"				Active					Private		" www.transportandoaqui.com.br "						26/01/2020 11:49:30	https://www.crunchbase.com/organization/transportandoaqui-com
	800,210	GEOtech Social	GEOtech Social offers cartographic services and creation of geospatial databases and platforms to access official data by the population.	" Manaus,  Amazonas,  Brazil, "	" Developer Platform, Geospatial, Online Portals"				Active					Private								26/01/2020 11:50:18	https://www.crunchbase.com/organization/geotech-social-4524
	571,004	Event Lister	Event Lister specializes in in marketing, validation and access control for events of any size in Brazil.	" Manaus,  Amazonas,  Brazil, "	" Event Management, Event Promotion, Marketing"		2015		Active			1-10		Private		" eventlister.com.br "	https://www.facebook.com/pg/eventlister	https://www.linkedin.com/company/event-lister	https://twitter.com/EventLister			26/01/2020 11:51:04	https://www.crunchbase.com/organization/event-lister
	330,749	Broto Tecnologia Agrícola	Broto Tecnologia Agrícola focuses on the creation of automation solutions for agribusiness.	" Manaus,  Amazonas,  Brazil, "	" Agriculture, AgTech, Farming, Industrial Automation"		2017		Active			1-10		Private		" www.broto.net.br/ "		https://www.linkedin.com/company/broto-tecnologia-agr%C3%ADcola		contato@broto.net.br	+55 (92) 99302-1449	26/01/2020 11:51:23	https://www.crunchbase.com/organization/broto-tecnologia-agr%C3%ADcola
	429,678	FEPS - Navegam	FEPS - Navegam facilitates the sale of river passages.	" Manaus,  Amazonas,  Brazil, "	" Transportation"				Active					Private		" e-feps.com.br/ "				geferson@e-feps.com.br	+92 99388-8533	26/01/2020 11:51:37	https://www.crunchbase.com/organization/feps-navegam
	445,836	Keep Smiling	KeepSmiling monitors the brushing of children through educational games using techniques of artificial intelligence and fun.	" Manaus,  Amazonas,  Brazil, "	" Artificial Intelligence, B2B, B2C, Digital Entertainment, Education, SaaS"		Dec 2017		Active			1-10		Private			https://www.facebook.com/KeepSmilingOficial/					26/01/2020 11:52:26	https://www.crunchbase.com/organization/keep-smiling
	243,603	Teewa	Teewa is a company that develops software to make convenient and effective interaction between customers and service providers.	" Manaus,  Amazonas,  Brazil, "	" Mobile, Mobile Apps"		2016		Active			11-50		Private		" teewa.com.br/ "	https://www.facebook.com/teewamobile/					26/01/2020 11:53:12	https://www.crunchbase.com/organization/teewa
	469,385	Rbarcos	"Rbarcos is a ""pier-to-pier"" platform in the Brazilian boat rental market."	" Manaus,  Amazonas,  Brazil, "	" Boating, Rental, Tourism"		2016		Active			1-10		Private		" www.rbarcos.com.br/ "	https://www.facebook.com/rbarcosoficial/	https://www.linkedin.com/company/rbarcos/	https://twitter.com/rbarcosoficial	rbarcos@rbarcos.com.br	(92) 32127-3822	26/01/2020 11:53:33	https://www.crunchbase.com/organization/rbarcos
	817,818	Ganhe na Tela	Ganhe na Tela offers a way to earn credits from all carriers for your prepaid phone.	" Manaus,  Amazonas,  Brazil, "	" Mobile Apps"		Mar 2016		Active			1-10		Private		" play.google.com/store/apps/details "	https://www.facebook.com/ganhenatela/					26/01/2020 11:54:18	https://www.crunchbase.com/organization/ganhe-na-tela
	629,202	Communy	Communy assists the management of condominiums, facilitates the execution of daily tasks, and optimize time.	" Manaus,  Amazonas,  Brazil, "	" Information and Communications Technology (ICT), Security, Social Network, Software"		2016		Active			1-10		Private		" communy.com.br "	https://www.facebook.com/pg/appcommuny	https://www.linkedin.com/company/communyam		contato@communy.com.br	(92) 94101-4345	26/01/2020 11:54:39	https://www.crunchbase.com/organization/communy
	843,587	Dona Know	Dona Know is a digital city guide that offers information on restaurants, shops, beaches, bars, shows, and parties available in Manaus.	" Manaus,  Amazonas,  Brazil, "	" Events, Guides, Restaurants"				Active					Private					https://twitter.com/donaknow			26/01/2020 11:55:26	https://www.crunchbase.com/organization/dona-know
	612,063	AGROAM	Rural Agricultural Technology Platform	" Manaus,  Amazonas,  Brazil, "	" Agriculture, E-Commerce, SMS"		2012		Active			1-10		Private		" www.agroam.org "	http://www.facebook.com/AgroamTechnology		http://twitter.com/agroamcommunity	contact@agroam.org		26/01/2020 11:56:13	https://www.crunchbase.com/organization/agroam
	433,250	BuriTech	BuriTech is a regional company that specializes in software development and the realization of technical training.	" Manaus,  Amazonas,  Brazil, "	" Artificial Intelligence, Information Technology, Machine Learning, Software, Training"		2014		Active			11-50		Private		" www.buritech.com.br/ "	https://www.facebook.com/buritech/	https://www.linkedin.com/company/buritech/	https://twitter.com/buritech_br	contato@buritech.com.br	(92) 8118-7282	26/01/2020 11:56:45	https://www.crunchbase.com/organization/buritech
	754,274	Mapsta	Mapsta offers a map and advisory system that allows entrepreneurs to better plan their sales routine.	" Manaus,  Amazonas,  Brazil, "	" Mapping Services, Sales Automation, Software"				Active					Private		" www.mapsta.com.br/ "					(92) 98420-1472	26/01/2020 11:57:16	https://www.crunchbase.com/organization/mapsta
